text,term_id,label
Abnormality of body height,HP:0000002,8
Multicystic kidney dysplasia,HP:0000003,0
Multicystic dysplastic kidney,HP:0000003,0
Multicystic kidneys,HP:0000003,0
Multicystic renal dysplasia,HP:0000003,0
Abnormal morphology of female internal genitalia,HP:0000008,0
Abnormality of female internal genitalia,HP:0000008,0
Functional abnormality of the bladder,HP:0000009,0
Poor bladder function,HP:0000009,0
Recurrent urinary tract infections,HP:0000010,0
Frequent urinary tract infections,HP:0000010,0
Recurrent UTIs,HP:0000010,0
Repeated bladder infections,HP:0000010,0
Repeated urinary tract infections,HP:0000010,0
Urinary tract infections,HP:0000010,0
"Urinary tract infections, recurrent",HP:0000010,0
Neurogenic bladder,HP:0000011,0
Lack of bladder control due to nervous system injury,HP:0000011,0
Urinary urgency,HP:0000012,0
Overactive bladder,HP:0000012,0
Overactive bladder syndrome,HP:0000012,0
Urgency frequency syndrome,HP:0000012,0
Urgent micturition,HP:0000012,0
Hypoplasia of the uterus,HP:0000013,0
Hypoplastic uterus,HP:0000013,0
Rudimentary uterus,HP:0000013,0
Small uterus,HP:0000013,0
Underdeveloped uterus,HP:0000013,0
Abnormality of the bladder,HP:0000014,0
Bladder diverticulum,HP:0000015,0
Bladder diverticula,HP:0000015,0
Urinary retention,HP:0000016,0
Increased post-void residual urine volume,HP:0000016,0
Urinary hesitancy,HP:0000019,0
Difficulty with flow,HP:0000019,0
Megacystis,HP:0000021,0
Abnormal male internal genitalia morphology,HP:0000022,0
Inguinal hernia,HP:0000023,17
Male hypogonadism,HP:0000026,0
Decreased function of male gonad,HP:0000026,0
Azoospermia,HP:0000027,0
Absent sperm in semen,HP:0000027,0
Cryptorchidism,HP:0000028,0
Cryptorchism,HP:0000028,0
Undescended testes,HP:0000028,0
Undescended testis,HP:0000028,0
Testicular atrophy,HP:0000029,0
Testicular degeneration,HP:0000029,0
Epididymitis,HP:0000031,0
Abnormal male external genitalia morphology,HP:0000032,0
Abnormality of male external genitalia,HP:0000032,0
"Ambiguous genitalia, male",HP:0000033,0
Ambiguous genitalia in males,HP:0000033,0
Hydrocele testis,HP:0000034,0
Hydrocele,HP:0000034,0
Testicular hydrocele,HP:0000034,0
Abnormal testis morphology,HP:0000035,0
Abnormality of the testis,HP:0000035,0
Anomaly of the testes,HP:0000035,0
Abnormal penis morphology,HP:0000036,0
Abnormality of the penis,HP:0000036,0
Male pseudohermaphroditism,HP:0000037,0
Epispadias,HP:0000039,0
Long penis,HP:0000040,0
Enlarged penis,HP:0000040,0
Chordee,HP:0000041,0
Absent external genitalia,HP:0000042,0
Hypogonadotropic hypogonadism,HP:0000044,0
Hypogonadotrophic hypogonadism,HP:0000044,0
Isolated hypogonadotropic hypogonadism,HP:0000044,0
Low gonadotropins (secondary hypogonadism),HP:0000044,0
Abnormal scrotum morphology,HP:0000045,0
Abnormality of the scrotum,HP:0000045,0
Hypospadias,HP:0000047,0
Hypospadia,HP:0000047,0
Bifid scrotum,HP:0000048,0
Cleft of scrotum,HP:0000048,0
Scrotal cleft,HP:0000048,0
Hypoplastic male external genitalia,HP:0000050,0
Hypoplastic male genitalia,HP:0000050,0
Small male external genitalia,HP:0000050,0
Underdeveloped male genitalia,HP:0000050,0
"Urethral atresia, male",HP:0000052,0
Macroorchidism,HP:0000053,0
Large testicles,HP:0000053,0
Large testis,HP:0000053,0
Micropenis,HP:0000054,0
Short penis,HP:0000054,0
Small penis,HP:0000054,0
Abnormal female external genitalia morphology,HP:0000055,0
Abnormal female external genitalia,HP:0000055,0
Abnormality of female external genitalia,HP:0000055,0
Abnormal clitoris morphology,HP:0000056,0
Abnormality of the clit,HP:0000056,0
Abnormality of the clitoris,HP:0000056,0
Abnormal labia morphology,HP:0000058,0
Abnormality of the labia,HP:0000058,0
Hypoplastic labia majora,HP:0000059,0
Hypoplasia of labia majora,HP:0000059,0
Small labia majora,HP:0000059,0
Underdeveloped vaginal lips,HP:0000059,0
Clitoral hypoplasia,HP:0000060,0
Hypoplastic clitoris,HP:0000060,0
Small clitoris,HP:0000060,0
Underdeveloped clit,HP:0000060,0
Ambiguous genitalia,HP:0000062,0
Ambiguous external genitalia,HP:0000062,0
Ambiguous external genitalia at birth,HP:0000062,0
Intersex genitalia,HP:0000062,0
Fused labia minora,HP:0000063,0
Fused inner lips,HP:0000063,0
Hypoplastic labia minora,HP:0000064,0
Underdeveloped inner lips,HP:0000064,0
Labial hypoplasia,HP:0000066,0
Hypoplastic labia,HP:0000066,0
Underdeveloped labia,HP:0000066,0
"Urethral atresia, female",HP:0000067,0
Urethral atresia,HP:0000068,0
Absent urethral opening,HP:0000068,0
Urethral opening absent,HP:0000068,0
Abnormality of the ureter,HP:0000069,0
Abnormality of the ureters,HP:0000069,0
Ureter issue,HP:0000069,0
Ureteral anomalies,HP:0000069,0
Ureterocele,HP:0000070,0
Ureteral stenosis,HP:0000071,0
Narrowing of the ureter,HP:0000071,0
Ureteric stenosis,HP:0000071,0
Hydroureter,HP:0000072,0
Dilated ureter,HP:0000072,0
Megaureter,HP:0000072,0
Swelling of ureter,HP:0000072,0
Ureteral dilatation,HP:0000072,0
Uroureter,HP:0000072,0
Wide ureter,HP:0000072,0
Ureteral duplication,HP:0000073,0
Double ureter,HP:0000073,0
Ureteropelvic junction obstruction,HP:0000074,0
Pelviureteric junction obstruction,HP:0000074,0
Ureteropelvic junction stenosis,HP:0000074,0
Renal duplication,HP:0000075,0
Duplex kidney,HP:0000075,0
Duplicated kidney,HP:0000075,0
Extra kidney,HP:0000075,0
Supernumerary kidney,HP:0000075,0
Vesicoureteral reflux,HP:0000076,0
Ureteral reflux,HP:0000076,0
Ureteric reflux,HP:0000076,0
Vesico-ureteral reflux,HP:0000076,0
Vesicoureteric reflux,HP:0000076,0
VUR,HP:0000076,0
Abnormality of the kidney,HP:0000077,0
Abnormal kidney,HP:0000077,0
Renal anomalies,HP:0000077,0
Renal anomaly,HP:0000077,0
Abnormality of the genital system,HP:0000078,0
Abnormality of the reproductive system,HP:0000078,0
Genital abnormalities,HP:0000078,0
Genital abnormality,HP:0000078,0
Genital anomalies,HP:0000078,0
Genital defects,HP:0000078,0
Abnormality of the urinary system,HP:0000079,0
Urinary tract abnormalities,HP:0000079,0
Urinary tract abnormality,HP:0000079,0
Urinary tract anomalies,HP:0000079,0
Duplicated collecting system,HP:0000081,0
Double collecting system,HP:0000081,0
Double urinary collecting systems on intravenous pyelography,HP:0000081,0
Duplex collecting system,HP:0000081,0
Duplicated renal collecting system,HP:0000081,0
Horseshoe kidney,HP:0000085,0
Fused kidneys,HP:0000085,0
Horseshoe kidneys,HP:0000085,0
Ectopic kidney,HP:0000086,0
Abnormal kidney location,HP:0000086,0
Displaced kidney,HP:0000086,0
Ectopic kidneys,HP:0000086,0
Renal ectopia,HP:0000086,0
Renal hypoplasia,HP:0000089,0
Hypoplastic kidney,HP:0000089,0
Hypoplastic kidneys,HP:0000089,0
Small kidneys,HP:0000089,0
Underdeveloped kidneys,HP:0000089,0
Nephronophthisis,HP:0000090,0
juvenile nephronophthisis,HP:0000090,0
Abnormal renal tubule morphology,HP:0000091,0
Abnormality of the renal tubule,HP:0000091,0
Morphologic abnormality of the renal tubules,HP:0000091,0
Renal tubular atrophy,HP:0000092,0
Renal tubular cell atrophy,HP:0000092,0
Tubular atrophy,HP:0000092,0
Proteinuria,HP:0000093,0
High urine protein levels,HP:0000093,0
Protein in urine,HP:0000093,0
Abnormal renal glomerulus morphology,HP:0000095,0
Abnormality of renal glomerulus morphology,HP:0000095,0
Morphologic abnormality of the renal glomerulus,HP:0000095,0
Glomerular sclerosis,HP:0000096,0
Glomerulosclerosis,HP:0000096,0
Renal glomerular fibrosis,HP:0000096,0
Focal segmental glomerulosclerosis,HP:0000097,0
Focal and segmental glomerular sclerosis,HP:0000097,0
Focal and segmental glomerulosclerosis,HP:0000097,0
focal glomerulosclerosis,HP:0000097,0
Tall stature,HP:0000098,8
Accelerated linear growth,HP:0000098,8
Increased body height,HP:0000098,8
Increased linear growth,HP:0000098,8
Polyuria,HP:0000103,0
Increased urine output,HP:0000103,0
Enlarged kidney,HP:0000105,0
Large kidney,HP:0000105,0
Large kidneys,HP:0000105,0
Nephromegaly,HP:0000105,0
Renal enlargement,HP:0000105,0
Renal cyst,HP:0000107,0
Cystic kidney disease,HP:0000107,0
Cystic kidneys,HP:0000107,0
Kidney cyst,HP:0000107,0
Renal cysts,HP:0000107,0
Renal corticomedullary cysts,HP:0000108,0
Corticomedullary renal cysts,HP:0000108,0
Renal corticomedullary cystic disease,HP:0000108,0
Renal dysplasia,HP:0000110,0
Dysplastic kidneys,HP:0000110,0
Renal adysplasia,HP:0000110,0
Nephropathy,HP:0000112,0
Kidney damage,HP:0000112,0
Kidney disease,HP:0000112,0
Polycystic kidney dysplasia,HP:0000113,0
Polycystic kidney disease,HP:0000113,0
Polycystic kidneys,HP:0000113,0
Proximal tubulopathy,HP:0000114,0
Proximal renal tubule defect,HP:0000114,0
Proximal renal tubulopathy,HP:0000114,0
Proximal tubular defect,HP:0000114,0
Proximal tubule dysfunction,HP:0000114,0
Selective proximal tubular damage,HP:0000114,0
Renal phosphate wasting,HP:0000117,0
Decreased renal tubular phosphate reabsorption,HP:0000117,0
Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate,HP:0000117,0
Tubular phosphate reabsorption low,HP:0000117,0
Nephrocalcinosis,HP:0000121,0
Increased calcium level in kidney,HP:0000121,0
Too much calcium deposited in kidneys,HP:0000121,0
Nephritis,HP:0000123,0
Kidney inflammation,HP:0000123,0
Renal tubular dysfunction,HP:0000124,0
Abnormal function of filtrating structures in kidney,HP:0000124,0
Renal tubular defect,HP:0000124,0
Renal tubular disease,HP:0000124,0
Pelvic kidney,HP:0000125,0
Sacral kidney,HP:0000125,0
Hydronephrosis,HP:0000126,0
Renal salt wasting,HP:0000127,0
Loss of salt in urine,HP:0000127,0
Renal salt-wasting,HP:0000127,0
Salt wasting,HP:0000127,0
Salt-wasting,HP:0000127,0
Abnormality of the uterus,HP:0000130,0
Uterine abnormalities,HP:0000130,0
Uterine malformations,HP:0000130,0
Menorrhagia,HP:0000132,0
Abnormally heavy bleeding during menstruation,HP:0000132,0
Abnormally heavy periods,HP:0000132,0
Hypermenorrhea,HP:0000132,0
Female hypogonadism,HP:0000134,0
"Hypogonadism, female",HP:0000134,0
Bifid uterus,HP:0000136,0
Abnormality of the ovary,HP:0000137,0
Abnormality of the ovaries,HP:0000137,0
Ovarian disease,HP:0000137,0
Uterine prolapse,HP:0000139,0
Sagging uterus,HP:0000139,0
