label_idx,top_id,top_name
0,HP:0000119,Abnormality of the genitourinary system
1,HP:0000152,Abnormality of head or neck
2,HP:0000478,Abnormality of the eye
3,HP:0000598,Abnormality of the ear
4,HP:0000707,Abnormality of the nervous system
5,HP:0000769,Abnormality of the breast
6,HP:0000818,Abnormality of the endocrine system
7,HP:0001197,Abnormality of prenatal development or birth
8,HP:0001507,Growth abnormality
9,HP:0001574,Abnormality of the integument
10,HP:0001608,Abnormality of the voice
11,HP:0001626,Abnormality of the cardiovascular system
12,HP:0001871,Abnormality of blood and blood-forming tissues
13,HP:0001939,Abnormality of metabolism/homeostasis
14,HP:0002086,Abnormality of the respiratory system
15,HP:0002664,Neoplasm
16,HP:0002715,Abnormality of the immune system
17,HP:0025031,Abnormality of the digestive system
18,HP:0025142,Constitutional symptom
19,HP:0025354,Abnormal cellular phenotype
20,HP:0033127,Abnormality of the musculoskeletal system
21,HP:0040064,Abnormality of limbs
22,HP:0045027,Abnormality of the thoracic cavity
